minecraft:missingno	x=0	y=896	w=16	h=16
minecraft:trims/models/armor/coast_amethyst	x=0	y=0	w=64	h=32
minecraft:trims/models/armor/coast_copper	x=0	y=32	w=64	h=32
minecraft:trims/models/armor/coast_diamond	x=64	y=0	w=64	h=32
minecraft:trims/models/armor/coast_diamond_darker	x=64	y=32	w=64	h=32
minecraft:trims/models/armor/coast_emerald	x=0	y=64	w=64	h=32
minecraft:trims/models/armor/coast_gold	x=64	y=64	w=64	h=32
minecraft:trims/models/armor/coast_gold_darker	x=0	y=96	w=64	h=32
minecraft:trims/models/armor/coast_iron	x=64	y=96	w=64	h=32
minecraft:trims/models/armor/coast_iron_darker	x=128	y=0	w=64	h=32
minecraft:trims/models/armor/coast_lapis	x=128	y=32	w=64	h=32
minecraft:trims/models/armor/coast_leggings_amethyst	x=128	y=64	w=64	h=32
minecraft:trims/models/armor/coast_leggings_copper	x=128	y=96	w=64	h=32
minecraft:trims/models/armor/coast_leggings_diamond	x=192	y=0	w=64	h=32
minecraft:trims/models/armor/coast_leggings_diamond_darker	x=192	y=32	w=64	h=32
minecraft:trims/models/armor/coast_leggings_emerald	x=192	y=64	w=64	h=32
minecraft:trims/models/armor/coast_leggings_gold	x=192	y=96	w=64	h=32
minecraft:trims/models/armor/coast_leggings_gold_darker	x=0	y=128	w=64	h=32
minecraft:trims/models/armor/coast_leggings_iron	x=64	y=128	w=64	h=32
minecraft:trims/models/armor/coast_leggings_iron_darker	x=128	y=128	w=64	h=32
minecraft:trims/models/armor/coast_leggings_lapis	x=192	y=128	w=64	h=32
minecraft:trims/models/armor/coast_leggings_netherite	x=0	y=160	w=64	h=32
minecraft:trims/models/armor/coast_leggings_netherite_darker	x=64	y=160	w=64	h=32
minecraft:trims/models/armor/coast_leggings_quartz	x=128	y=160	w=64	h=32
minecraft:trims/models/armor/coast_leggings_redstone	x=192	y=160	w=64	h=32
minecraft:trims/models/armor/coast_netherite	x=0	y=192	w=64	h=32
minecraft:trims/models/armor/coast_netherite_darker	x=64	y=192	w=64	h=32
minecraft:trims/models/armor/coast_quartz	x=128	y=192	w=64	h=32
minecraft:trims/models/armor/coast_redstone	x=192	y=192	w=64	h=32
minecraft:trims/models/armor/dune_amethyst	x=0	y=224	w=64	h=32
minecraft:trims/models/armor/dune_copper	x=64	y=224	w=64	h=32
minecraft:trims/models/armor/dune_diamond	x=128	y=224	w=64	h=32
minecraft:trims/models/armor/dune_diamond_darker	x=192	y=224	w=64	h=32
minecraft:trims/models/armor/dune_emerald	x=256	y=0	w=64	h=32
minecraft:trims/models/armor/dune_gold	x=256	y=32	w=64	h=32
minecraft:trims/models/armor/dune_gold_darker	x=256	y=64	w=64	h=32
minecraft:trims/models/armor/dune_iron	x=256	y=96	w=64	h=32
minecraft:trims/models/armor/dune_iron_darker	x=256	y=128	w=64	h=32
minecraft:trims/models/armor/dune_lapis	x=256	y=160	w=64	h=32
minecraft:trims/models/armor/dune_leggings_amethyst	x=256	y=192	w=64	h=32
minecraft:trims/models/armor/dune_leggings_copper	x=256	y=224	w=64	h=32
minecraft:trims/models/armor/dune_leggings_diamond	x=320	y=0	w=64	h=32
minecraft:trims/models/armor/dune_leggings_diamond_darker	x=320	y=32	w=64	h=32
minecraft:trims/models/armor/dune_leggings_emerald	x=320	y=64	w=64	h=32
minecraft:trims/models/armor/dune_leggings_gold	x=320	y=96	w=64	h=32
minecraft:trims/models/armor/dune_leggings_gold_darker	x=320	y=128	w=64	h=32
minecraft:trims/models/armor/dune_leggings_iron	x=320	y=160	w=64	h=32
minecraft:trims/models/armor/dune_leggings_iron_darker	x=320	y=192	w=64	h=32
minecraft:trims/models/armor/dune_leggings_lapis	x=320	y=224	w=64	h=32
minecraft:trims/models/armor/dune_leggings_netherite	x=384	y=0	w=64	h=32
minecraft:trims/models/armor/dune_leggings_netherite_darker	x=384	y=32	w=64	h=32
minecraft:trims/models/armor/dune_leggings_quartz	x=384	y=64	w=64	h=32
minecraft:trims/models/armor/dune_leggings_redstone	x=384	y=96	w=64	h=32
